id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
28194512,10 minutes away by car from Pearson airport b,36295486,Mustafa,,West Humber-Clairville,43.72346,-79.58467,Entire home/apt,120,2,1,2020-11-30,0.12,1,70
28196716,"LUXURY 1BDR HEART OF DT!CN Tower, Union, TIFF/MTCC",48533163,Saima,,Waterfront Communities-The Island,43.64387,-79.3887,Entire home/apt,149,28,25,2020-03-14,1.31,12,120
28198406,Hosting Females only,212642921,Sabah,,Junction Area,43.67293,-79.47402,Private room,30,28,6,2019-01-05,0.17,3,0
28198440,**3rd floor room/HighPark-Sunnyside-Roncesvalles,198393365,Scott & Debbie,,High Park-Swansea,43.63945,-79.45262,Private room,51,1,80,2021-07-25,2.34,4,355
28201073,Love the Beach ?,36655672,Cathy,,Birchcliffe-Cliffside,43.67535,-79.27904,Entire home/apt,100,3,11,2021-06-28,0.31,1,15
28201779,Master room at YorkU with parking. Walk to subway.,32232649,Minh Thang,,York University Heights,43.76574,-79.50147,Private room,64,1,65,2020-03-15,1.91,3,345
28202418,"Private room, great area in Toronto",213010584,Daisuke,,Roncesvalles,43.64041,-79.44042,Private room,55,28,27,2019-11-13,0.80,1,156
28204634,West-end Wonder,188890261,Ashley,,Mount Dennis,43.68429,-79.48912,Entire home/apt,75,28,139,2019-11-18,3.95,1,364
28219043,2.5BED 2BTH Suite Prime Toronto Spot Free Parking,2189933,Val,,Waterfront Communities-The Island,43.64241,-79.381248,Entire home/apt,203,2,179,2021-05-15,5.71,1,245
28221123,Spacious Top Floor Suite Near Downtown Toronto,201010963,John,,Keelesdale-Eglinton West,43.68829,-79.46625,Entire home/apt,149,28,36,2019-12-01,1.47,1,180
28226929,Modern Furnished Apartment at Yonge & Sheppard,108248968,Ahmed,,Willowdale East,43.76066,-79.40827,Entire home/apt,136,80,0,,,3,365
28227090,Luxury Furnished Condo At Yonge & Sheppard,108248968,Ahmed,,Willowdale East,43.76024,-79.40864,Entire home/apt,140,79,0,,,3,365
28228730,Cozy self contained unit - Downtown Toronto,213226836,Harry,,Rosedale-Moore Park,43.68946,-79.38174,Entire home/apt,107,29,177,2020-08-23,7.20,1,89
28229005,Entire Modern Apartment in Downtown Toronto,22809859,Michael,,Trinity-Bellwoods,43.64814,-79.42167,Entire home/apt,100,28,5,2018-09-23,0.14,1,0
28229518,2nd floor bay window room/HighPark-Sunnyside Beach,198393365,Scott & Debbie,,High Park-Swansea,43.64135,-79.45255,Private room,50,1,78,2019-12-29,3.21,4,345
28229838,Cozy 1 Bed Home in Heart of Leslieville - Sleep 4,16014326,T. Naomi,,South Riverdale,43.67131,-79.33061,Entire home/apt,150,3,42,2021-07-22,1.25,1,135
28239139,Big Bright Beautiful 2 Bedroom Apt. Upper Bluffs.,213294343,Georghia,,Cliffcrest,43.71716,-79.24655,Entire home/apt,122,1,84,2020-01-04,2.45,1,164
28244994,Toronto Urban Escape Trendy KING/QUEEN West LUXURY,44729613,Esther,,Niagara,43.64603,-79.409,Entire home/apt,145,28,63,2020-01-01,2.59,2,154
28246537,Beautiful Sunny Loft w Rooftop Pool in King West,23289919,Mallika,,Waterfront Communities-The Island,43.64486,-79.39906,Entire home/apt,250,28,4,2018-09-24,0.12,1,0
28247123,"Paris palace
 1 mn walk to Kennedy stn",213347636,Serge,,Ionview,43.73254,-79.26989,Private room,200,28,6,2018-11-30,0.17,1,365
28251951,Industrial Chic Junior One Bedroom,36670539,Mikaila,,Waterfront Communities-The Island,43.64583,-79.39893,Entire home/apt,100,28,17,2019-07-30,0.63,1,0
28253949,High Park Gem,194186447,Jean,,High Park North,43.65626,-79.47045,Entire home/apt,118,28,12,2019-09-08,0.50,1,363
28255238,Bright and Comfy Room with Seperate Entrance,213413216,Joy,,Parkwoods-Donalda,43.75653,-79.31512,Private room,38,2,69,2019-11-30,2.96,1,0
28255772,Newly Refurbished Two Bedroom by the Lake,23990808,Lilianne,,New Toronto,43.59989,-79.5018,Entire home/apt,130,1,34,2020-01-02,0.98,1,64
28256040,Cozy and Spacious Yonge & Eglinton Apartment,28593469,Suzy,,Mount Pleasant West,43.71056,-79.39673,Entire home/apt,83,50,2,2019-03-19,0.07,1,0
28260937,2 bedroom and den,88230046,Van,,Waterfront Communities-The Island,43.64038,-79.39264,Entire home/apt,165,28,0,,,1,0
28262795,78-4 lovely entire basement in law unit,152638030,Ted,,Tam O'Shanter-Sullivan,43.77141,-79.31196,Private room,69,28,3,2018-10-07,0.09,5,0
28264606,Upscale 60th Floor Condominium in the Clouds,51016161,Idrees,,Waterfront Communities-The Island,43.64191,-79.38178,Entire home/apt,174,1,314,2021-01-15,10.69,1,283
28271554,"Cozy Riverdale gem, walk to the subway.",84696701,Sarah,,North Riverdale,43.67703,-79.34927,Entire home/apt,120,1,367,2020-01-31,11.64,1,51
28273239,Beautiful & spacious  2+1 Condo with Free parking,213530445,Lili,,Willowdale East,43.77554,-79.41371,Entire home/apt,165,30,0,,,1,198
28274030,Modern studio in the heart of King West,8984595,Haley,,Waterfront Communities-The Island,43.64576,-79.39685,Entire home/apt,200,28,3,2018-09-19,0.09,1,0
28276172,Dreamers Haven with Amazing CN Tower/Lake Views!,846505,Julie,,Waterfront Communities-The Island,43.63929,-79.39736,Entire home/apt,356,2,85,2020-03-14,2.66,46,158
28276491,Parkdale Apartment,213551885,Tenzin,,South Parkdale,43.63602,-79.43873,Entire home/apt,149,30,1,2018-09-23,0.03,1,0
28276581,Bedroom with private bath,151830841,Mon,,Willowdale East,43.77826,-79.40869,Private room,40,28,0,,,3,363
28276761,North York Queen bed private bath &parking Room A,213216342,Jean,,Newtonbrook West,43.784,-79.44004,Private room,57,28,55,2019-09-23,1.56,4,0
28281505,Spacious 2 Bedroom Lower Level Suite!,212873894,David,,Woburn,43.74929,-79.22795,Entire home/apt,55,29,54,2020-01-18,1.57,1,0
28283233,North York private room with parking Room B,213216342,Jean,,Newtonbrook West,43.78504,-79.44034,Private room,47,28,12,2018-10-28,0.35,4,0
28283405,North York Queen bed with free parking Room C,213216342,Jean,,Newtonbrook West,43.78551,-79.44029,Private room,53,28,101,2019-11-04,3.20,4,0
28283510,North York private room with free parking Room,213216342,Jean,,Newtonbrook West,43.78467,-79.43878,Private room,42,28,15,2020-02-03,0.42,4,0
28286296,Luxury Condo Downtown Toronto Yonge Dundas Square,127210047,Zainab,,Bay Street Corridor,43.65391,-79.38309,Entire home/apt,168,28,2,2018-10-22,0.06,1,87
28287136,Perfectly located Modern Apartment in Greek town,61323744,Carol And Steve,,Blake-Jones,43.67799,-79.34296,Entire home/apt,100,28,10,2020-07-31,0.28,1,340
28289675,Toronto Queen West lovely place（皇后西街的温馨客房）,213646313,Ven,,Little Portugal,43.6416,-79.42345,Private room,59,180,23,2019-03-24,0.73,1,90
28290176,Luxury Loft,28023810,Kadija,,Mount Dennis,43.68546,-79.48656,Entire home/apt,100,28,17,2019-08-19,0.49,1,63
28300532,King West downtown Toronto (near TIFF),213717093,Yasmin,,Waterfront Communities-The Island,43.64615,-79.39033,Entire home/apt,208,28,1,2018-09-11,0.03,1,180
28302120,Green Room,64371515,Seyed Sadegh,,Bayview Village,43.7752,-79.3777,Entire home/apt,70,28,9,2019-10-06,0.35,2,71
28304498,Private room for one female guest,213745859,Lou,,Islington-City Centre West,43.63848,-79.53542,Private room,88,28,0,,,1,365
28305017,New Waterfront 4 BDRM 2 BATH Condo with Parking,186361451,Nicole,,Waterfront Communities-The Island,43.64113,-79.38229,Entire home/apt,364,1,73,2021-02-01,2.25,5,138
28305698,QueenWest/TrinityBellwoods Park home:rooftop patio,69297696,Carlie,,Niagara,43.64432,-79.40843,Private room,49,28,2,2018-10-16,0.06,1,0
28306264,Toronto Multi-unit building,53651007,Alishay,,Bay Street Corridor,43.65959,-79.3858,Private room,80,28,21,2018-09-29,0.60,1,25
28306794,Modern Furnished Two Bedroom Downtown July,349619,Cristina,,Regent Park,43.66135,-79.36456,Entire home/apt,90,28,1,2019-04-22,0.04,1,88
28307356,Row Home in the Heart of Toronto,1376009,Robert,,Kensington-Chinatown,43.65562,-79.40614,Entire home/apt,300,28,4,2018-10-15,0.12,1,0
28308504,Stylish DT condo near Rogers Ctr & TO nightlife,213776066,Clark,,Waterfront Communities-The Island,43.643,-79.39774,Entire home/apt,150,28,45,2020-02-28,1.71,1,90
28312549,Private Two Bedrooms Apt with Parking and Laundry,32768681,Xiaolin,,Parkwoods-Donalda,43.76095,-79.31826,Entire home/apt,91,2,104,2021-04-05,3.03,3,249
28315031,4 Bedroom Townhouse Near Yorkdale Shopping Centre,187881397,HostTO,,Yorkdale-Glen Park,43.72317,-79.45794,Entire home/apt,239,28,3,2018-10-21,0.09,15,0
28317733,2 Bed+Den Paradise With Spacious Outdoor Terrace,187881397,HostTO,,Yorkdale-Glen Park,43.72177,-79.45787,Entire home/apt,134,28,8,2018-12-21,0.23,15,64
28318263,Studio With Terrace Across Yorkdale Mall,187881397,HostTO,,Yorkdale-Glen Park,43.72401,-79.45599,Entire home/apt,109,28,24,2019-01-19,0.70,15,0
28318285,Most luxurious-Downtown Toronto- Newyear Fireworks,106925093,Sam,,Bay Street Corridor,43.65051,-79.38221,Entire home/apt,120,28,6,2020-01-27,0.26,1,0
28330956,Fashion House Lofts - Prime downtown location!!,23550380,Andrey,,Waterfront Communities-The Island,43.64596,-79.39973,Entire home/apt,140,28,19,2018-10-21,0.54,1,0
28332448,"Kensington, UofT; AGO;  Little Italy - Air Con",27496971,Janet,,Palmerston-Little Italy,43.65798,-79.4118,Private room,95,28,51,2019-08-26,2.16,1,90
28334989,Cozy and comfortable space for 1 or 2 in High Park,2111971,Alex,,Roncesvalles,43.64937,-79.44965,Entire home/apt,128,2,73,2020-11-01,3.13,2,153
28336416,Cozy Private 2-bedroom Basement 静颐之家,50551745,Helen,,Agincourt South-Malvern West,43.7904,-79.25105,Entire home/apt,85,28,67,2019-12-31,1.98,3,139
28336797,Sunny and Spacious Deluxe Suite in High Park,2111971,Alex,,Roncesvalles,43.6489,-79.4494,Entire home/apt,161,2,73,2020-02-16,2.43,2,153
28340219,1200 SQ.FT Luxury condo+Amazing view +Huge balcony,38084605,Sam,,Bay Street Corridor,43.66937,-79.3875,Entire home/apt,160,90,0,,,1,358
28341951,BEAUTIFUL NEWLY RENOVATED CONDO | 5 MINS TO SUBWAY,208098170,Judy & Larry,,Willowdale East,43.76587,-79.40984,Private room,60,28,4,2018-10-22,0.13,1,155
28345128,"Private bedroom1, 7 Minutes walk to Subway Station",214030250,Kerui,,Willowdale East,43.77067,-79.40884,Private room,48,1,64,2021-07-29,2.39,3,77
28349844,"Q bed private bathroom 55"" UHD4KTV DowntownToronto",36799038,Donna,,Trinity-Bellwoods,43.65348,-79.41113,Private room,118,1,11,2018-10-28,0.46,3,364
28353646,Apt available from 8am to 5pm (no overnight),53082120,Will,,Mount Pleasant West,43.70917,-79.39239,Entire home/apt,99,1,9,2021-07-29,0.52,3,315
28356847,Great Room in a Great Location!,83307611,Billy,,Niagara,43.64273,-79.40443,Private room,50,28,133,2020-02-12,3.84,2,82
28360442,Heart of Downtown Toronto Condo facing CN & Water,203318970,Farah,,Waterfront Communities-The Island,43.64012,-79.38371,Private room,240,28,21,2019-09-18,0.60,1,365
28361291,Stunning 2 Bedroom Condo near Shops and Subway,186646215,Ebi,,St.Andrew-Windfields,43.76431,-79.38153,Entire home/apt,226,28,10,2019-08-22,0.33,1,180
28361344,Joy 201☺ self check-in & free parking,101117782,Sofiene,,O'Connor-Parkview,43.71085,-79.31108,Entire home/apt,77,28,33,2019-08-12,0.97,6,228
28361903,Joy 104 ☺ self check-in & free parking,101117782,Sofiene,,O'Connor-Parkview,43.70859,-79.30883,Entire home/apt,74,28,8,2019-01-31,0.23,6,269
28364762,"Modern 1 Bedroom, Yonge & Eglinton,  Private Bath",21817116,Liz,,Yonge-Eglinton,43.71099,-79.40406,Private room,100,28,11,2019-04-08,0.38,1,0
28366715,Cozy large apartment near York U Subway 汉语OK RmCDE,96693289,Crystal,,Black Creek,43.77519,-79.52252,Private room,41,30,2,2018-09-30,0.07,9,365
28367119,Toronto Condo In Heart of Downtown,152968236,Lucky,,Waterfront Communities-The Island,43.64514,-79.37631,Entire home/apt,149,28,22,2019-01-23,0.62,1,0
28367206,Luxurious Executive Suite in heart of Downtown,60303949,Evan,,Waterfront Communities-The Island,43.64399,-79.39146,Entire home/apt,149,28,4,2018-10-14,0.12,1,0
28368270,Grand Corner Suite,207904273,Evelyn,,Waterfront Communities-The Island,43.64043,-79.39468,Entire home/apt,368,1,89,2020-03-05,3.65,1,332
28383831,Brand new fully private space in mid-town Toronto,73844473,Stewart,,Wychwood,43.67931,-79.42781,Entire home/apt,76,5,34,2020-01-03,1.18,1,36
28384367,Stylish One Bedroom Apartment in Trendy Wychwood,70199516,Lauren And Stephanie,,Wychwood,43.67372,-79.4212,Entire home/apt,79,8,78,2020-12-11,2.73,1,0
28384443,Modernized 2 Bed Condo Across Yorkdale Mall,187881397,HostTO,,Yorkdale-Glen Park,43.72377,-79.45749,Entire home/apt,119,28,13,2019-01-28,0.38,15,0
28385634,Best View of Lake Ontario,21091617,Iskandar,,Mimico (includes Humber Bay Shores),43.62163,-79.48284,Private room,45,28,0,,,1,0
28387348,Toronto Room for Female Guest,214314596,Nicolle Coco,,Bay Street Corridor,43.65367,-79.38289,Private room,160,28,0,,,1,0
28388149,Cozy Toronto Flat,846505,Julie,,Trinity-Bellwoods,43.65204,-79.42252,Entire home/apt,120,28,35,2019-09-26,1.29,46,0
28390381,2 bedroom semi Danforth East,214338445,Chris,,Greenwood-Coxwell,43.68136,-79.32537,Entire home/apt,86,28,61,2020-02-20,1.80,1,0
28392597,Cosy room in downtown Toronto condo with parking,8057983,Eric,,North St.James Town,43.67162,-79.37696,Private room,70,28,0,,,1,0
28407810,"Beaches & Craft Beer: 
Family Holiday Home",30493990,Vanessa,,Woodbine Corridor,43.67322,-79.30894,Entire home/apt,105,28,2,2018-09-23,0.08,1,0
28409061,Bright Modern Tranquility - A place to call home,203105323,Nick,,Leaside-Bennington,43.70674,-79.36849,Entire home/apt,675,28,5,2019-04-11,0.14,1,219
28409753,Gorgeous new renovation in heart of Roncesvalles,46213442,Glen,,Roncesvalles,43.64565,-79.44374,Entire home/apt,250,30,0,,,1,0
28410339,Studio in King St. West Boutique Condo,21020394,Brittany,,Waterfront Communities-The Island,43.64431,-79.39839,Entire home/apt,150,28,0,,,1,0
28411278,Basement Unit In Family Home,82296278,Chris,,Roncesvalles,43.6441,-79.43901,Entire home/apt,67,1,210,2021-05-01,6.14,1,38
28411992,Luxury high rise condo in heart of DOWNTOWN,16423882,Nippun,,North St.James Town,43.66729,-79.37547,Entire home/apt,115,28,25,2019-08-05,0.71,1,0
28413493,Exquisite 3 bedroom condo with easy access to 401.,86775826,Jonathan,,St.Andrew-Windfields,43.74724,-79.40613,Entire home/apt,100,180,5,2019-01-14,0.14,1,179
28422234,81-05/ private room on the main floor.,139762710,Maggie,,Don Valley Village,43.78858,-79.36526,Private room,68,28,0,,,10,0
28427270,Temple Stay at Zen Buddhist Temple (Guest Room),182502138,Sanha,,Wychwood,43.68218,-79.42046,Private room,60,28,7,2018-10-21,0.20,2,0
28432650,Colorful Condo by Scotiabank Arena w/ Unreal View,151184252,Mar,,Waterfront Communities-The Island,43.64232,-79.37957,Entire home/apt,120,28,47,2018-11-29,1.34,1,0
28433741,Modern 1 Bed+Den Beside Yorkdale Shopping Centre,187881397,HostTO,,Yorkdale-Glen Park,43.72252,-79.45672,Entire home/apt,109,28,12,2019-01-21,0.34,15,89
28436365,private  Room on italy village in Toronto,164990634,Emanoel,,Caledonia-Fairbank,43.6884,-79.44903,Private room,39,28,2,2018-09-22,0.06,1,364
28440386,Stunning 3 Bed + Den Suite Across Yorkdale Mall,187881397,HostTO,,Yorkdale-Glen Park,43.72219,-79.45634,Entire home/apt,159,28,11,2019-02-28,0.34,15,0
